% Relation generated from XXXXXXL1 2.xls
@relation XXXXXXL1 2

@attribute ID numeric
@attribute status_pozyczki numeric
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć numeric
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
43,'splacona_cz','200.0','20','mężczyzna','17','985.0','2','10','1','0'
44,'splacona_cz','392.14','63','kobieta','13','1668.0','2','88','48','9'
45,'windykacja_sp','441.91','52','kobieta','11','1050.0','1','15','48','422'
46,'splacona_cz','200.0','62','mężczyzna','13','1672.59','0','19','48','0'
47,'splacona_cz','200.0','57','mężczyzna','13','12220.0','0','68','48','0'
48,'splacona_cz','600.0','55','mężczyzna','16','588.0','2','419','48','2'
49,'splacona_cz','300.0','57','kobieta','13','611.0','0','136','48','0'
50,'splacona','230.0','62','kobieta','13','1065.0','1','19','48','274'
51,'splacona','400.0','64','mężczyzna','13','1261.6','1','50','48','0'
52,'odmowa','1000.0','41','mężczyzna','11','1200.0','0','24','48','0'
53,'splacona_cz','400.0','58','kobieta','13','1454.91','1','39','48','6'
54,'splacona_cz','300.0','22','kobieta','12','1634.0','0','9','0','3'
55,'odmowa','1000.0','76','kobieta','13','1900.0','0','252','48','0'
56,'splacona_cz','500.0','31','mężczyzna','11','2700.0','2','12','48','3'
57,'splacona_cz','799.84','57','kobieta','11','1680.0','2','67','48','1'
58,'splacona_cz','300.0','25','mężczyzna','12','1400.0','0','9','23','0'
59,'odmowa','200.0','31','kobieta','12','1037.0','0','8','5','0'
60,'splacona_cz','432.44','69','kobieta','13','1072.0','2','150','48','1'
61,'splacona_cz','200.0','57','mężczyzna','16','763.38','1','208','48','1'
62,'splacona_cz','500.0','54','kobieta','16','1045.6','2','9','48','0'
63,'splacona_cz','400.0','29','mężczyzna','11','1888.27','1','74','48','4'
64,'splacona_cz','500.0','38','kobieta','11','2927.0','0','198','48','0'
65,'splacona_cz','400.0','56','mężczyzna','11','1842.86','0','5','48','0'
66,'splacona','600.0','64','mężczyzna','13','3100.0','0','135','48','11'
67,'splacona_cz','300.0','46','mężczyzna','13','1688.82','0','96','48','0'
68,'splacona_cz','300.0','58','kobieta','13','1240.0','2','67','48','0'
69,'splacona','400.0','28','mężczyzna','12','900.0','2','15','5','8'
70,'splacona_cz','300.0','43','kobieta','11','1400.0','2','22','48','0'
71,'splacona_cz','200.0','74','kobieta','13','1026.0','2','244','48','0'
72,'splacona_cz','281.29','53','kobieta','11','1700.0','2','202','48','1'
73,'splacona_cz','300.0','60','mężczyzna','11','3000.0','2','209','48','1'
74,'splacona_cz','300.0','46','kobieta','11','763.0','1','90','48','0'
75,'splacona','400.0','43','kobieta','99','645.31','0','8','4','1'
76,'splacona_cz','300.0','70','kobieta','13','729.03','2','254','48','0'
77,'splacona_cz','400.0','61','kobieta','13','1090.14','1','72','48','0'
78,'splacona','600.0','61','mężczyzna','11','2458.0','0','144','48','0'
79,'splacona_cz','200.0','62','kobieta','13','714.0','2','219','48','0'
80,'splacona_cz','200.0','63','kobieta','16','1389.0','1','88','48','0'
81,'splacona_cz','381.29','70','kobieta','13','1291.18','2','76','48','0'
82,'splacona_cz','400.0','44','mężczyzna','12','1952.35','1','1','10','0'
83,'odmowa','300.0','58','mężczyzna','17','607.95','0','210','30','0'
84,'splacona_cz','900.0','59','kobieta','13','1370.0','1','73','48','0'
85,'windykacja_sp','300.0','65','kobieta','13','665.92','2','122','48','300'
86,'odmowa','300.0','26','mężczyzna','11','1226.0','0','2','48','0'
87,'splacona_cz','400.0','61','kobieta','13','1170.0','0','75','48','0'
88,'splacona','400.0','56','kobieta','11','1187.06','1','130','48','2'
89,'splacona_cz','400.0','50','kobieta','17','990.0','2','69','16','0'
90,'splacona_cz','500.0','53','mężczyzna','11','2080.0','2','315','48','0'
91,'splacona_cz','400.0','54','kobieta','12','1700.0','2','52','1','0'
92,'splacona','200.0','30','kobieta','11','1373.34','0','55','48','0'
93,'splacona_cz','200.0','25','kobieta','17','1200.0','2','162','18','0'
94,'splacona_cz','600.0','35','kobieta','11','2400.0','1','110','48','0'
95,'splacona_cz','500.0','58','mężczyzna','17','1485.0','1','140','46','0'
96,'splacona_cz','200.0','28','mężczyzna','12','1136.86','0','9','15','1'
97,'splacona_cz','500.0','61','kobieta','13','1362.0','2','53','48','6'
98,'windykacja','500.0','49','mężczyzna','11','3250.0','1','2','48','5366'
99,'splacona_cz','500.0','67','mężczyzna','16','1600.0','0','9','48','0'
100,'odmowa','300.0','54','mężczyzna','16','730.0','0','113','48','0'
101,'splacona_cz','426.61','49','kobieta','11','2470.0','2','351','48','0'
102,'windykacja','400.0','52','kobieta','12','1040.0','2','15','4','5366'
103,'splacona_cz','400.0','64','kobieta','13','1015.0','2','106','48','4'
104,'odmowa','700.0','35','kobieta','11','1557.5','0','182','48','0'
105,'splacona_cz','200.0','68','kobieta','13','1017.0','2','158','48','0'
106,'splacona','350.0','56','kobieta','17','547.89','1','53','5','13'
107,'splacona_cz','600.0','39','kobieta','11','1800.0','1','49','48','11'
108,'splacona_cz','800.0','33','kobieta','11','2050.0','0','26','48','5'
109,'splacona_cz','200.0','66','kobieta','13','910.0','2','67','48','1'
110,'splacona','200.0','43','mężczyzna','11','2284.23','0','297','48','0'
111,'splacona','400.0','50','kobieta','11','1577.42','2','202','48','11'
112,'windykacja','600.0','31','kobieta','12','855.0','2','41','19','5366'
113,'splacona','600.0','33','kobieta','12','1540.0','1','36','3','5'
114,'splacona_cz','575.74','32','mężczyzna','11','2050.0','2','115','48','1'
115,'splacona_cz','400.0','54','kobieta','11','2368.57','0','407','48','0'
116,'odmowa','300.0','20','kobieta','17','540.62','0','28','20','0'
117,'odmowa','1000.0','63','kobieta','13','1875.17','0','96','48','0'
118,'splacona_cz','500.0','50','kobieta','11','4900.0','0','8','48','0'
119,'splacona_cz','300.0','73','mężczyzna','13','1457.0','1','76','48','3'
120,'splacona_cz','200.0','66','kobieta','13','1216.0','2','138','48','0'
121,'splacona_cz','400.0','61','kobieta','13','1280.0','2','14','48','0'
122,'odmowa','400.0','41','kobieta','99','490.99','0','3','5','0'
123,'splacona_cz','500.0','49','kobieta','11','1800.0','2','50','48','3'
124,'odmowa','800.0','64','mężczyzna','13','1798.71','0','132','48','0'
125,'windykacja','600.0','25','mężczyzna','11','1110.0','0','7','48','5365'
126,'splacona','670.73','63','kobieta','13','930.0','2','91','48','11'
127,'windykacja','500.0','33','mężczyzna','11','1500.0','1','99','48','5364'
128,'windykacja_sp','400.0','33','mężczyzna','11','1033.0','1','33','48','303'
129,'splacona','500.0','61','kobieta','13','1160.0','1','75','48','3'
130,'splacona_cz','300.0','58','kobieta','13','1244.77','2','36','48','4'
131,'splacona','200.0','72','kobieta','13','930.0','2','236','48','0'
132,'splacona_cz','500.0','70','kobieta','13','1200.0','2','116','48','16'
133,'splacona_cz','600.0','69','mężczyzna','13','2015.55','0','108','48','5'
134,'splacona_cz','400.0','67','kobieta','13','1085.0','2','163','48','3'
135,'splacona_cz','500.0','30','mężczyzna','11','2700.0','2','61','48','2'
136,'splacona','400.0','34','kobieta','11','980.11','2','42','48','10'
137,'odmowa','500.0','19','mężczyzna','12','1139.48','0','3','17','0'
138,'splacona','200.0','73','kobieta','13','866.46','2','192','48','0'
139,'splacona_cz','700.0','58','kobieta','13','1872.0','2','32','48','2'
140,'splacona_cz','600.0','51','mężczyzna','12','2673.17','2','109','48','5'
141,'splacona_cz','400.0','59','kobieta','13','1400.0','1','51','48','0'
142,'splacona_cz','500.0','36','kobieta','11','1700.0','1','194','48','5'
143,'windykacja','400.0','35','mężczyzna','11','2700.0','1','5','48','5364'
144,'splacona_cz','500.0','58','mężczyzna','16','1770.0','2','86','48','0'
145,'splacona_cz','500.8','35','kobieta','98','4000.0','2','16','48','2'
146,'splacona_cz','1000.0','60','kobieta','11','2670.0','2','85','48','6'
147,'odmowa','250.0','73','mężczyzna','13','625.86','0','254','48','0'
148,'splacona_cz','200.0','27','mężczyzna','17','728.0','2','97','33','2'
149,'odmowa','200.0','67','kobieta','13','757.1','0','195','48','0'
150,'splacona_cz','200.0','64','kobieta','13','2113.24','1','58','48','0'
151,'splacona_cz','300.0','52','kobieta','16','685.0','0','38','48','0'
152,'splacona_cz','400.0','60','kobieta','11','1906.42','0','209','48','0'
153,'windykacja','281.29','57','mężczyzna','13','1561.87','1','194','48','5362'
154,'splacona_cz','200.0','53','kobieta','12','984.34','1','15','5','0'
155,'splacona_cz','200.0','70','kobieta','13','907.0','0','231','48','0'
156,'splacona_cz','385.97','54','kobieta','11','1721.7','2','117','48','0'
157,'splacona','300.0','59','mężczyzna','16','726.0','2','230','48','336'
158,'splacona','300.0','60','kobieta','13','936.0','2','28','48','0'
159,'splacona_cz','500.0','56','mężczyzna','13','1900.0','2','147','48','0'
160,'splacona_cz','400.0','57','kobieta','13','1817.24','0','15','48','0'
161,'odmowa','200.0','33','kobieta','98','520.0','0','26','48','0'
162,'windykacja_sp','850.0','69','mężczyzna','16','1100.0','2','134','48','190'
163,'splacona_cz','400.0','56','kobieta','11','1730.13','0','190','48','1'
164,'splacona_cz','337.64','35','kobieta','11','2709.34','2','178','48','0'
165,'splacona_cz','300.0','61','kobieta','13','1399.99','0','12','48','1'
166,'splacona_cz','400.0','44','mężczyzna','12','1963.88','1','3','2','0'
167,'splacona_cz','600.0','61','kobieta','13','1050.0','2','136','48','0'
168,'windykacja_sp','520.7','24','mężczyzna','17','926.0','2','53','1','400'
169,'windykacja_sp','356.68','24','mężczyzna','17','926.0','2','53','1','400'
170,'splacona_cz','600.0','43','kobieta','11','1443.0','2','31','48','1'
171,'splacona_cz','1000.0','61','kobieta','13','1820.0','2','66','48','0'
172,'splacona_cz','1000.0','73','kobieta','13','2100.0','2','52','48','23'
173,'splacona','200.0','64','mężczyzna','16','650.77','0','45','48','3'
174,'windykacja','300.0','60','kobieta','13','784.0','1','36','48','5362'
175,'splacona_cz','300.0','30','mężczyzna','11','1000.0','2','54','48','3'
176,'splacona_cz','300.0','60','kobieta','13','1026.0','2','52','48','11'
177,'splacona_cz','200.0','57','mężczyzna','11','1500.0','1','392','48','1'
178,'splacona','200.0','70','mężczyzna','13','1420.0','1','50','48','0'
179,'splacona','400.0','65','mężczyzna','13','1217.0','0','48','48','0'
180,'splacona_cz','400.0','53','kobieta','16','1362.0','2','26','48','0'
181,'splacona_cz','300.0','28','kobieta','11','901.0','1','37','48','0'
182,'splacona','400.0','69','mężczyzna','13','3181.0','0','48','48','0'
183,'odmowa','600.0','33','mężczyzna','11','1750.0','0','6','48','0'
184,'splacona','500.0','64','mężczyzna','13','1530.0','2','32','48','5'
185,'splacona_cz','200.0','31','kobieta','12','980.0','2','7','3','1'
186,'odmowa','200.0','23','mężczyzna','16','540.62','0','62','48','0'
187,'splacona_cz','300.0','44','mężczyzna','11','3217.0','0','267','48','0'
188,'splacona_cz','700.0','65','mężczyzna','13','3040.0','2','198','48','0'
189,'splacona_cz','200.0','56','kobieta','17','1100.0','0','24','9','0'
190,'splacona_cz','200.0','51','kobieta','11','932.34','2','392','48','0'
191,'splacona','300.0','23','mężczyzna','11','1400.0','0','22','48','0'
192,'odmowa','200.0','61','kobieta','13','1229.15','0','84','48','0'
193,'splacona_cz','450.0','68','mężczyzna','13','2000.0','2','42','48','1'
194,'splacona','200.0','55','kobieta','11','1077.0','2','180','48','0'
195,'splacona_cz','300.0','70','kobieta','13','865.0','2','125','48','0'
196,'splacona_cz','200.0','57','kobieta','11','983.97','0','75','48','0'
197,'splacona_cz','300.0','45','kobieta','11','1344.9','1','43','48','4'
198,'splacona_cz','400.0','60','kobieta','13','1107.0','0','12','48','0'
199,'splacona_cz','200.0','48','kobieta','11','967.64','1','316','48','4'
200,'splacona_cz','500.0','60','mężczyzna','11','2100.0','1','184','48','1'
201,'splacona_cz','200.0','71','kobieta','13','722.05','1','194','48','0'
202,'splacona_cz','300.0','46','kobieta','98','911.0','2','95','48','0'
203,'splacona_cz','300.0','26','kobieta','12','1300.0','1','5','7','0'
204,'splacona_cz','300.0','22','kobieta','12','1500.0','1','1','1','0'
205,'splacona_cz','300.0','52','kobieta','11','1400.0','2','158','48','5'
206,'splacona','600.0','80','mężczyzna','13','2547.0','0','192','48','0'
207,'splacona_cz','300.0','58','mężczyzna','16','1528.0','0','372','48','6'
208,'splacona_cz','300.0','49','kobieta','11','992.84','2','118','48','0'
209,'splacona_cz','600.0','59','kobieta','13','1400.0','2','243','48','0'
210,'splacona','250.0','70','kobieta','13','1294.0','0','120','48','0'
211,'splacona','200.0','53','kobieta','99','1100.0','1','49','0','0'
212,'splacona','800.0','54','mężczyzna','13','2800.0','1','147','48','0'
213,'splacona','300.0','75','mężczyzna','13','1150.0','0','135','48','28'
214,'splacona','300.0','63','mężczyzna','13','2040.0','1','141','48','14'
215,'splacona_cz','400.0','65','kobieta','13','1125.0','0','122','48','0'
216,'splacona_cz','300.0','73','mężczyzna','13','960.0','2','137','48','7'
217,'splacona','300.0','64','mężczyzna','13','1374.08','0','69','48','1'
218,'splacona','662.69','30','mężczyzna','11','2837.0','0','123','48','21'
219,'splacona_cz','400.0','65','kobieta','13','1175.0','0','112','48','0'
220,'splacona_cz','300.0','55','kobieta','16','1072.89','2','119','48','0'
221,'splacona','300.0','49','mężczyzna','12','1042.0','1','2','0','12'
222,'splacona_cz','200.0','37','kobieta','12','1382.0','1','18','5','0'
223,'splacona_cz','200.0','41','kobieta','11','1037.34','2','59','48','0'
224,'splacona','200.0','78','kobieta','13','1239.98','0','252','48','0'
225,'splacona_cz','400.0','47','kobieta','98','2200.0','2','22','48','0'
226,'splacona_cz','396.61','61','mężczyzna','13','1500.0','2','20','48','1'
227,'odmowa','600.0','36','mężczyzna','11','2002.0','0','61','48','0'
228,'splacona_cz','300.0','57','kobieta','16','634.64','1','133','48','0'
229,'splacona_cz','300.0','63','kobieta','13','1014.0','0','180','48','7'
230,'splacona_cz','200.0','47','kobieta','11','1493.98','1','358','48','0'
231,'splacona_cz','300.0','46','kobieta','12','1032.0','2','35','5','3'
232,'windykacja','380.59','40','kobieta','17','646.0','0','51','3','5358'
233,'splacona','820.86','42','mężczyzna','11','2100.0','1','281','48','334'
234,'windykacja_sp','356.29','57','kobieta','13','782.0','0','189','48','209'
235,'splacona_cz','800.0','56','kobieta','13','580.0','2','116','48','2'
236,'splacona_cz','200.0','37','kobieta','12','599.03','1','16','2','5'
237,'odmowa','400.0','62','kobieta','13','634.64','0','254','48','0'
238,'odmowa','400.0','65','mężczyzna','13','889.38','0','5','48','0'
239,'odmowa','700.0','42','mężczyzna','12','5000.0','0','3','3','0'
240,'splacona','300.0','70','kobieta','13','1000.0','1','61','48','0'
241,'odmowa','450.0','76','kobieta','13','720.08','0','239','48','0'
242,'splacona_cz','800.0','55','kobieta','13','3440.0','2','48','48','6'
243,'odmowa','200.0','41','kobieta','11','718.57','0','78','48','0'
244,'splacona','400.0','38','kobieta','11','800.51','1','17','48','13'
245,'odmowa','200.0','53','kobieta','11','1133.37','0','389','48','0'
246,'odmowa','500.0','38','kobieta','12','1520.01','0','26','41','0'
247,'splacona','499.98','35','mężczyzna','11','2200.0','2','82','48','18'
248,'splacona','600.0','49','kobieta','11','2500.0','1','230','48','0'
249,'splacona_cz','600.0','29','mężczyzna','12','1300.0','2','24','17','6'
250,'splacona_cz','300.0','54','mężczyzna','17','798.8','2','146','4','6'
251,'odmowa','500.0','50','mężczyzna','12','1038.0','0','30','17','0'
252,'odmowa','300.0','59','kobieta','16','799.4','0','126','48','0'
253,'splacona','400.0','65','mężczyzna','16','1473.04','1','162','48','3'
254,'odmowa','300.0','50','mężczyzna','12','670.8','0','3','5','0'
255,'splacona','500.0','61','mężczyzna','11','1250.0','2','62','48','14'
256,'splacona','300.0','62','kobieta','13','750.0','0','28','48','0'
257,'splacona_cz','300.0','66','mężczyzna','13','2110.0','2','98','48','0'
258,'windykacja_sp','400.0','59','kobieta','13','930.0','1','29','48','436'
259,'windykacja_sp','231.22','52','mężczyzna','12','1000.0','2','9','30','437'
260,'splacona_cz','300.0','59','kobieta','13','1658.0','2','26','48','1'
261,'splacona_cz','200.0','53','kobieta','16','749.28','2','62','48','2'
262,'splacona_cz','250.0','70','kobieta','13','1016.0','0','186','48','0'
263,'splacona_cz','600.0','51','kobieta','11','3200.0','2','51','48','1'
264,'splacona_cz','500.0','32','kobieta','11','3100.0','2','118','48','0'
265,'splacona_cz','400.0','37','kobieta','11','2700.0','2','118','48','0'
266,'splacona_cz','393.99','59','mężczyzna','11','2947.0','2','50','48','3'
267,'odmowa','300.0','24','mężczyzna','12','1027.22','0','1','2','0'
268,'splacona','300.0','33','mężczyzna','11','2100.0','2','61','48','9'
269,'splacona_cz','400.0','68','kobieta','16','980.0','2','128','48','1'
270,'odmowa','400.0','42','kobieta','11','960.0','0','4','48','0'
271,'splacona','412.72','33','kobieta','11','1400.0','1','98','48','9'
272,'splacona_cz','694.0','38','kobieta','11','1900.0','2','205','48','3'
273,'windykacja','200.0','37','mężczyzna','12','950.0','1','4','11','5355'
274,'splacona_cz','328.0','60','mężczyzna','12','1000.0','2','9','1','4'
275,'splacona_cz','328.32','50','kobieta','12','1000.0','2','29','0','4'
276,'splacona_cz','500.0','62','kobieta','13','1900.0','2','85','48','1'
277,'splacona_cz','600.0','56','mężczyzna','11','3335.0','2','430','48','2'
278,'splacona_cz','377.69','40','kobieta','11','1087.0','1','235','48','5'
279,'odmowa','300.0','51','mężczyzna','16','639.31','0','246','48','0'
280,'splacona_cz','700.0','61','kobieta','13','2066.0','2','126','48','1'
281,'splacona_cz','253.12','61','kobieta','13','975.0','2','24','48','3'
282,'odmowa','1000.0','38','mężczyzna','11','2424.72','0','64','48','0'
283,'odmowa','500.0','53','mężczyzna','11','2094.17','0','238','48','0'
284,'odmowa','1000.0','54','kobieta','11','2575.31','0','190','48','0'
285,'splacona_cz','500.0','61','mężczyzna','11','2250.05','0','173','48','1'
286,'splacona_cz','300.0','65','mężczyzna','12','1100.0','2','19','17','1'
287,'splacona_cz','700.0','61','kobieta','13','1977.0','0','52','48','3'
288,'odmowa','200.0','41','kobieta','11','993.48','0','163','48','0'
289,'splacona','200.0','68','kobieta','13','1134.96','2','159','48','16'
290,'splacona_cz','200.0','63','mężczyzna','13','1287.66','1','94','48','2'
291,'splacona_cz','200.0','63','mężczyzna','13','1538.0','2','99','48','3'
292,'splacona_cz','300.0','71','mężczyzna','13','1426.0','2','75','48','0'
293,'odmowa','200.0','59','mężczyzna','12','1200.0','0','0','23','0'
294,'splacona_cz','300.0','56','kobieta','98','980.0','1','8','48','1'
295,'splacona_cz','300.0','45','mężczyzna','12','670.0','2','7','4','0'
296,'splacona_cz','500.0','43','mężczyzna','98','3178.0','2','199','48','2'
297,'splacona','517.26','58','kobieta','13','1801.41','2','36','48','10'
298,'splacona_cz','1100.0','42','mężczyzna','11','2875.71','2','276','48','6'
299,'odmowa','300.0','39','kobieta','12','1030.0','0','19','4','0'
300,'splacona_cz','200.0','74','kobieta','13','1026.0','2','245','48','1'
301,'splacona_cz','200.0','71','kobieta','13','1185.33','2','222','48','0'
302,'splacona','900.0','33','kobieta','11','2200.0','0','35','48','0'
303,'splacona','200.0','74','mężczyzna','13','957.2','1','195','48','264'
304,'splacona','336.83','67','kobieta','13','815.0','1','142','48','0'
305,'splacona_cz','400.0','64','kobieta','13','840.0','0','111','48','0'
306,'odmowa','300.0','63','kobieta','13','933.05','0','83','48','0'
307,'odmowa','1000.0','59','kobieta','16','1820.0','0','24','48','0'
308,'splacona_cz','285.97','38','kobieta','98','1200.0','2','44','48','2'
309,'splacona_cz','200.0','31','kobieta','12','1032.34','2','3','8','0'
310,'odmowa','1000.0','30','mężczyzna','11','1510.08','0','14','48','0'
311,'splacona_cz','300.0','39','kobieta','12','1027.0','2','7','48','5'
312,'splacona_cz','277.34','39','kobieta','11','1770.0','2','85','48','1'
313,'splacona_cz','800.0','62','kobieta','13','3700.0','2','25','48','0'
314,'odmowa','200.0','24','mężczyzna','11','1032.0','0','25','48','0'
315,'splacona','400.0','42','mężczyzna','11','3500.0','2','26','48','139'
316,'splacona_cz','200.0','54','kobieta','11','1400.0','2','115','48','1'
317,'splacona_cz','300.0','46','kobieta','11','763.0','2','91','48','1'
318,'splacona_cz','200.0','58','kobieta','13','1083.23','0','95','48','1'
319,'splacona','500.0','62','mężczyzna','13','1272.0','1','14','48','270'
320,'splacona_cz','250.0','62','mężczyzna','99','685.0','2','3','0','4'
321,'splacona','200.0','78','mężczyzna','13','1519.0','0','252','48','0'
322,'splacona_cz','200.0','68','kobieta','13','803.86','2','156','48','1'
323,'odmowa','800.0','31','mężczyzna','12','1743.0','0','11','5','0'
324,'odmowa','500.0','63','mężczyzna','12','961.0','0','76','4','0'
325,'splacona_cz','400.0','63','mężczyzna','13','1193.65','1','7','48','1'
326,'splacona','200.0','46','mężczyzna','11','1566.82','0','347','48','0'
327,'odmowa','500.0','25','mężczyzna','12','1032.34','0','15','16','0'
328,'splacona_cz','200.0','66','kobieta','13','1031.0','0','119','48','0'
329,'splacona','400.0','60','kobieta','13','1149.06','1','159','48','47'
330,'splacona','400.0','73','kobieta','13','1412.0','2','202','48','19'
331,'splacona','381.29','66','mężczyzna','13','1591.0','2','74','48','12'
332,'splacona','200.0','64','kobieta','16','755.1','1','132','48','12'
333,'splacona_cz','327.0','52','kobieta','11','2065.98','2','177','48','7'
334,'splacona','300.0','28','mężczyzna','12','1400.0','1','7','16','5'
335,'splacona','800.0','35','mężczyzna','12','1500.0','0','31','4','0'
336,'splacona','789.27','63','kobieta','13','860.0','2','78','48','11'
337,'odmowa','300.0','52','kobieta','11','1079.0','0','175','48','0'
338,'splacona_cz','400.0','54','kobieta','11','2800.0','2','58','48','3'
339,'splacona','200.0','79','kobieta','13','1167.94','0','367','48','0'
340,'splacona','700.0','72','mężczyzna','13','2802.0','2','245','48','307'
341,'splacona_cz','200.0','50','mężczyzna','16','1045.0','1','197','48','0'
342,'windykacja','500.0','58','mężczyzna','17','1485.0','2','141','45','5350'
343,'odmowa','200.0','24','mężczyzna','12','1035.0','0','2','0','0'
344,'splacona_cz','300.0','39','mężczyzna','11','1300.0','2','43','48','0'
345,'odmowa','800.0','43','kobieta','12','1792.0','0','156','1','0'
346,'splacona_cz','200.0','62','mężczyzna','13','1162.0','2','219','48','2'
347,'splacona','300.0','67','kobieta','13','1094.0','1','182','48','4'
348,'splacona_cz','200.0','60','kobieta','13','1635.0','2','118','48','0'
349,'odmowa','1000.0','41','mężczyzna','98','30000.0','0','73','48','0'
350,'odmowa','300.0','39','kobieta','11','1033.52','0','75','48','0'
351,'splacona_cz','300.0','63','kobieta','13','917.0','0','74','48','0'
352,'splacona_cz','600.0','68','kobieta','13','2120.0','2','117','48','3'
353,'splacona','200.0','62','kobieta','13','985.9','0','88','48','292'
354,'splacona_cz','400.0','62','mężczyzna','16','1313.41','2','26','48','0'
355,'splacona_cz','400.0','63','kobieta','13','1233.0','1','121','48','0'
356,'splacona_cz','300.0','65','mężczyzna','13','1611.0','0','139','48','3'
357,'splacona_cz','200.0','57','mężczyzna','13','819.0','0','55','48','0'
358,'splacona_cz','500.0','62','kobieta','13','714.0','3','220','48','1'
359,'splacona_cz','500.0','45','kobieta','11','3000.0','2','91','48','0'
360,'windykacja_sp','470.41','66','kobieta','13','919.0','2','139','48','430'
361,'splacona_cz','600.0','41','kobieta','98','5000.0','1','82','48','7'
362,'splacona_cz','250.0','40','mężczyzna','12','700.0','2','7','16','8'
363,'splacona_cz','500.0','73','kobieta','13','951.0','2','160','48','1'
364,'splacona_cz','400.0','65','kobieta','13','1013.74','2','111','48','1'
365,'splacona_cz','400.0','58','kobieta','11','1500.0','1','83','48','1'
366,'odmowa','200.0','58','kobieta','13','1145.25','0','21','48','0'
367,'windykacja','300.0','38','kobieta','11','1200.0','2','188','48','5348'
368,'splacona_cz','521.49','62','kobieta','13','1525.46','2','34','48','0'
