% Relation generated from XXXXXXL1 2.xls
@RELATION "XXXXXXL1 2"

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE status_pozyczki {odmowa, splacona, splacona_cz, windykacja, windykacja_sp}
@ATTRIBUTE kwota_kredytu NUMERIC
@ATTRIBUTE wiek NUMERIC
@ATTRIBUTE płeć {kobieta, mężczyzna}
@ATTRIBUTE rodzaj_źródła_dochodu NUMERIC
@ATTRIBUTE miesieczny_dochod_netto NUMERIC
@ATTRIBUTE ktore_rolowanie NUMERIC
@ATTRIBUTE okres_w_jakim_pobierał_dochód NUMERIC
@ATTRIBUTE okres_w_jakim_będzie_pobierał_dochód NUMERIC
@ATTRIBUTE opóźnienie_spłaty NUMERIC

@DATA
95,splacona_cz,500.0,58.0,mężczyzna,17.0,1485.0,1.0,140.0,46.0,0.0
96,splacona_cz,200.0,28.0,mężczyzna,12.0,1136.86,0.0,9.0,15.0,1.0
97,splacona_cz,500.0,61.0,kobieta,13.0,1362.0,2.0,53.0,48.0,6.0
98,windykacja,500.0,49.0,mężczyzna,11.0,3250.0,1.0,2.0,48.0,5366.0
99,splacona_cz,500.0,67.0,mężczyzna,16.0,1600.0,0.0,9.0,48.0,0.0
100,odmowa,300.0,54.0,mężczyzna,16.0,730.0,0.0,113.0,48.0,0.0
101,splacona_cz,426.61,49.0,kobieta,11.0,2470.0,2.0,351.0,48.0,0.0
102,windykacja,400.0,52.0,kobieta,12.0,1040.0,2.0,15.0,4.0,5366.0
103,splacona_cz,400.0,64.0,kobieta,13.0,1015.0,2.0,106.0,48.0,4.0
104,odmowa,700.0,35.0,kobieta,11.0,1557.5,0.0,182.0,48.0,0.0
105,splacona_cz,200.0,68.0,kobieta,13.0,1017.0,2.0,158.0,48.0,0.0
106,splacona,350.0,56.0,kobieta,17.0,547.89,1.0,53.0,5.0,13.0
107,splacona_cz,600.0,39.0,kobieta,11.0,1800.0,1.0,49.0,48.0,11.0
108,splacona_cz,800.0,33.0,kobieta,11.0,2050.0,0.0,26.0,48.0,5.0
109,splacona_cz,200.0,66.0,kobieta,13.0,910.0,2.0,67.0,48.0,1.0
110,splacona,200.0,43.0,mężczyzna,11.0,2284.23,0.0,297.0,48.0,0.0
111,splacona,400.0,50.0,kobieta,11.0,1577.42,2.0,202.0,48.0,11.0
112,windykacja,600.0,31.0,kobieta,12.0,855.0,2.0,41.0,19.0,5366.0
113,splacona,600.0,33.0,kobieta,12.0,1540.0,1.0,36.0,3.0,5.0
114,splacona_cz,575.74,32.0,mężczyzna,11.0,2050.0,2.0,115.0,48.0,1.0
115,splacona_cz,400.0,54.0,kobieta,11.0,2368.57,0.0,407.0,48.0,0.0
116,odmowa,300.0,20.0,kobieta,17.0,540.62,0.0,28.0,20.0,0.0
117,odmowa,1000.0,63.0,kobieta,13.0,1875.17,0.0,96.0,48.0,0.0
118,splacona_cz,500.0,50.0,kobieta,11.0,4900.0,0.0,8.0,48.0,0.0
119,splacona_cz,300.0,73.0,mężczyzna,13.0,1457.0,1.0,76.0,48.0,3.0
120,splacona_cz,200.0,66.0,kobieta,13.0,1216.0,2.0,138.0,48.0,0.0
121,splacona_cz,400.0,61.0,kobieta,13.0,1280.0,2.0,14.0,48.0,0.0
122,odmowa,400.0,41.0,kobieta,99.0,490.99,0.0,3.0,5.0,0.0
123,splacona_cz,500.0,49.0,kobieta,11.0,1800.0,2.0,50.0,48.0,3.0
124,odmowa,800.0,64.0,mężczyzna,13.0,1798.71,0.0,132.0,48.0,0.0
125,windykacja,600.0,25.0,mężczyzna,11.0,1110.0,0.0,7.0,48.0,5365.0
126,splacona,670.73,63.0,kobieta,13.0,930.0,2.0,91.0,48.0,11.0
127,windykacja,500.0,33.0,mężczyzna,11.0,1500.0,1.0,99.0,48.0,5364.0
128,windykacja_sp,400.0,33.0,mężczyzna,11.0,1033.0,1.0,33.0,48.0,303.0
129,splacona,500.0,61.0,kobieta,13.0,1160.0,1.0,75.0,48.0,3.0
130,splacona_cz,300.0,58.0,kobieta,13.0,1244.77,2.0,36.0,48.0,4.0
131,splacona,200.0,72.0,kobieta,13.0,930.0,2.0,236.0,48.0,0.0
132,splacona_cz,500.0,70.0,kobieta,13.0,1200.0,2.0,116.0,48.0,16.0
133,splacona_cz,600.0,69.0,mężczyzna,13.0,2015.55,0.0,108.0,48.0,5.0
134,splacona_cz,400.0,67.0,kobieta,13.0,1085.0,2.0,163.0,48.0,3.0
135,splacona_cz,500.0,30.0,mężczyzna,11.0,2700.0,2.0,61.0,48.0,2.0
136,splacona,400.0,34.0,kobieta,11.0,980.11,2.0,42.0,48.0,10.0
137,odmowa,500.0,19.0,mężczyzna,12.0,1139.48,0.0,3.0,17.0,0.0
138,splacona,200.0,73.0,kobieta,13.0,866.46,2.0,192.0,48.0,0.0
139,splacona_cz,700.0,58.0,kobieta,13.0,1872.0,2.0,32.0,48.0,2.0
140,splacona_cz,600.0,51.0,mężczyzna,12.0,2673.17,2.0,109.0,48.0,5.0
141,splacona_cz,400.0,59.0,kobieta,13.0,1400.0,1.0,51.0,48.0,0.0
142,splacona_cz,500.0,36.0,kobieta,11.0,1700.0,1.0,194.0,48.0,5.0
143,windykacja,400.0,35.0,mężczyzna,11.0,2700.0,1.0,5.0,48.0,5364.0
144,splacona_cz,500.0,58.0,mężczyzna,16.0,1770.0,2.0,86.0,48.0,0.0
145,splacona_cz,500.8,35.0,kobieta,98.0,4000.0,2.0,16.0,48.0,2.0
146,splacona_cz,1000.0,60.0,kobieta,11.0,2670.0,2.0,85.0,48.0,6.0
147,odmowa,250.0,73.0,mężczyzna,13.0,625.86,0.0,254.0,48.0,0.0
148,splacona_cz,200.0,27.0,mężczyzna,17.0,728.0,2.0,97.0,33.0,2.0
149,odmowa,200.0,67.0,kobieta,13.0,757.1,0.0,195.0,48.0,0.0
150,splacona_cz,200.0,64.0,kobieta,13.0,2113.24,1.0,58.0,48.0,0.0
151,splacona_cz,300.0,52.0,kobieta,16.0,685.0,0.0,38.0,48.0,0.0
152,splacona_cz,400.0,60.0,kobieta,11.0,1906.42,0.0,209.0,48.0,0.0
153,windykacja,281.29,57.0,mężczyzna,13.0,1561.87,1.0,194.0,48.0,5362.0
154,splacona_cz,200.0,53.0,kobieta,12.0,984.34,1.0,15.0,5.0,0.0
155,splacona_cz,200.0,70.0,kobieta,13.0,907.0,0.0,231.0,48.0,0.0
156,splacona_cz,385.97,54.0,kobieta,11.0,1721.7,2.0,117.0,48.0,0.0
157,splacona,300.0,59.0,mężczyzna,16.0,726.0,2.0,230.0,48.0,336.0
158,splacona,300.0,60.0,kobieta,13.0,936.0,2.0,28.0,48.0,0.0
159,splacona_cz,500.0,56.0,mężczyzna,13.0,1900.0,2.0,147.0,48.0,0.0
160,splacona_cz,400.0,57.0,kobieta,13.0,1817.24,0.0,15.0,48.0,0.0
161,odmowa,200.0,33.0,kobieta,98.0,520.0,0.0,26.0,48.0,0.0
162,windykacja_sp,850.0,69.0,mężczyzna,16.0,1100.0,2.0,134.0,48.0,190.0
163,splacona_cz,400.0,56.0,kobieta,11.0,1730.13,0.0,190.0,48.0,1.0
164,splacona_cz,337.64,35.0,kobieta,11.0,2709.34,2.0,178.0,48.0,0.0
165,splacona_cz,300.0,61.0,kobieta,13.0,1399.99,0.0,12.0,48.0,1.0
166,splacona_cz,400.0,44.0,mężczyzna,12.0,1963.88,1.0,3.0,2.0,0.0
167,splacona_cz,600.0,61.0,kobieta,13.0,1050.0,2.0,136.0,48.0,0.0
168,windykacja_sp,520.7,24.0,mężczyzna,17.0,926.0,2.0,53.0,1.0,400.0
169,windykacja_sp,356.68,24.0,mężczyzna,17.0,926.0,2.0,53.0,1.0,400.0
170,splacona_cz,600.0,43.0,kobieta,11.0,1443.0,2.0,31.0,48.0,1.0
171,splacona_cz,1000.0,61.0,kobieta,13.0,1820.0,2.0,66.0,48.0,0.0
172,splacona_cz,1000.0,73.0,kobieta,13.0,2100.0,2.0,52.0,48.0,23.0
173,splacona,200.0,64.0,mężczyzna,16.0,650.77,0.0,45.0,48.0,3.0
174,windykacja,300.0,60.0,kobieta,13.0,784.0,1.0,36.0,48.0,5362.0
175,splacona_cz,300.0,30.0,mężczyzna,11.0,1000.0,2.0,54.0,48.0,3.0
176,splacona_cz,300.0,60.0,kobieta,13.0,1026.0,2.0,52.0,48.0,11.0
177,splacona_cz,200.0,57.0,mężczyzna,11.0,1500.0,1.0,392.0,48.0,1.0
178,splacona,200.0,70.0,mężczyzna,13.0,1420.0,1.0,50.0,48.0,0.0
179,splacona,400.0,65.0,mężczyzna,13.0,1217.0,0.0,48.0,48.0,0.0
180,splacona_cz,400.0,53.0,kobieta,16.0,1362.0,2.0,26.0,48.0,0.0
181,splacona_cz,300.0,28.0,kobieta,11.0,901.0,1.0,37.0,48.0,0.0
182,splacona,400.0,69.0,mężczyzna,13.0,3181.0,0.0,48.0,48.0,0.0
183,odmowa,600.0,33.0,mężczyzna,11.0,1750.0,0.0,6.0,48.0,0.0
184,splacona,500.0,64.0,mężczyzna,13.0,1530.0,2.0,32.0,48.0,5.0
185,splacona_cz,200.0,31.0,kobieta,12.0,980.0,2.0,7.0,3.0,1.0
186,odmowa,200.0,23.0,mężczyzna,16.0,540.62,0.0,62.0,48.0,0.0
187,splacona_cz,300.0,44.0,mężczyzna,11.0,3217.0,0.0,267.0,48.0,0.0
188,splacona_cz,700.0,65.0,mężczyzna,13.0,3040.0,2.0,198.0,48.0,0.0
189,splacona_cz,200.0,56.0,kobieta,17.0,1100.0,0.0,24.0,9.0,0.0
190,splacona_cz,200.0,51.0,kobieta,11.0,932.34,2.0,392.0,48.0,0.0
191,splacona,300.0,23.0,mężczyzna,11.0,1400.0,0.0,22.0,48.0,0.0
192,odmowa,200.0,61.0,kobieta,13.0,1229.15,0.0,84.0,48.0,0.0
193,splacona_cz,450.0,68.0,mężczyzna,13.0,2000.0,2.0,42.0,48.0,1.0
194,splacona,200.0,55.0,kobieta,11.0,1077.0,2.0,180.0,48.0,0.0
195,splacona_cz,300.0,70.0,kobieta,13.0,865.0,2.0,125.0,48.0,0.0
196,splacona_cz,200.0,57.0,kobieta,11.0,983.97,0.0,75.0,48.0,0.0
197,splacona_cz,300.0,45.0,kobieta,11.0,1344.9,1.0,43.0,48.0,4.0
198,splacona_cz,400.0,60.0,kobieta,13.0,1107.0,0.0,12.0,48.0,0.0
199,splacona_cz,200.0,48.0,kobieta,11.0,967.64,1.0,316.0,48.0,4.0
200,splacona_cz,500.0,60.0,mężczyzna,11.0,2100.0,1.0,184.0,48.0,1.0
201,splacona_cz,200.0,71.0,kobieta,13.0,722.05,1.0,194.0,48.0,0.0
202,splacona_cz,300.0,46.0,kobieta,98.0,911.0,2.0,95.0,48.0,0.0
203,splacona_cz,300.0,26.0,kobieta,12.0,1300.0,1.0,5.0,7.0,0.0
204,splacona_cz,300.0,22.0,kobieta,12.0,1500.0,1.0,1.0,1.0,0.0
205,splacona_cz,300.0,52.0,kobieta,11.0,1400.0,2.0,158.0,48.0,5.0
206,splacona,600.0,80.0,mężczyzna,13.0,2547.0,0.0,192.0,48.0,0.0
207,splacona_cz,300.0,58.0,mężczyzna,16.0,1528.0,0.0,372.0,48.0,6.0
208,splacona_cz,300.0,49.0,kobieta,11.0,992.84,2.0,118.0,48.0,0.0
209,splacona_cz,600.0,59.0,kobieta,13.0,1400.0,2.0,243.0,48.0,0.0
210,splacona,250.0,70.0,kobieta,13.0,1294.0,0.0,120.0,48.0,0.0
211,splacona,200.0,53.0,kobieta,99.0,1100.0,1.0,49.0,0.0,0.0
212,splacona,800.0,54.0,mężczyzna,13.0,2800.0,1.0,147.0,48.0,0.0
213,splacona,300.0,75.0,mężczyzna,13.0,1150.0,0.0,135.0,48.0,28.0
214,splacona,300.0,63.0,mężczyzna,13.0,2040.0,1.0,141.0,48.0,14.0
215,splacona_cz,400.0,65.0,kobieta,13.0,1125.0,0.0,122.0,48.0,0.0
216,splacona_cz,300.0,73.0,mężczyzna,13.0,960.0,2.0,137.0,48.0,7.0
217,splacona,300.0,64.0,mężczyzna,13.0,1374.08,0.0,69.0,48.0,1.0
218,splacona,662.69,30.0,mężczyzna,11.0,2837.0,0.0,123.0,48.0,21.0
219,splacona_cz,400.0,65.0,kobieta,13.0,1175.0,0.0,112.0,48.0,0.0
220,splacona_cz,300.0,55.0,kobieta,16.0,1072.89,2.0,119.0,48.0,0.0
221,splacona,300.0,49.0,mężczyzna,12.0,1042.0,1.0,2.0,0.0,12.0
222,splacona_cz,200.0,37.0,kobieta,12.0,1382.0,1.0,18.0,5.0,0.0
223,splacona_cz,200.0,41.0,kobieta,11.0,1037.34,2.0,59.0,48.0,0.0
224,splacona,200.0,78.0,kobieta,13.0,1239.98,0.0,252.0,48.0,0.0
225,splacona_cz,400.0,47.0,kobieta,98.0,2200.0,2.0,22.0,48.0,0.0
226,splacona_cz,396.61,61.0,mężczyzna,13.0,1500.0,2.0,20.0,48.0,1.0
227,odmowa,600.0,36.0,mężczyzna,11.0,2002.0,0.0,61.0,48.0,0.0
228,splacona_cz,300.0,57.0,kobieta,16.0,634.64,1.0,133.0,48.0,0.0
229,splacona_cz,300.0,63.0,kobieta,13.0,1014.0,0.0,180.0,48.0,7.0
230,splacona_cz,200.0,47.0,kobieta,11.0,1493.98,1.0,358.0,48.0,0.0
231,splacona_cz,300.0,46.0,kobieta,12.0,1032.0,2.0,35.0,5.0,3.0
232,windykacja,380.59,40.0,kobieta,17.0,646.0,0.0,51.0,3.0,5358.0
233,splacona,820.86,42.0,mężczyzna,11.0,2100.0,1.0,281.0,48.0,334.0
234,windykacja_sp,356.29,57.0,kobieta,13.0,782.0,0.0,189.0,48.0,209.0
235,splacona_cz,800.0,56.0,kobieta,13.0,580.0,2.0,116.0,48.0,2.0
236,splacona_cz,200.0,37.0,kobieta,12.0,599.03,1.0,16.0,2.0,5.0
237,odmowa,400.0,62.0,kobieta,13.0,634.64,0.0,254.0,48.0,0.0
238,odmowa,400.0,65.0,mężczyzna,13.0,889.38,0.0,5.0,48.0,0.0
239,odmowa,700.0,42.0,mężczyzna,12.0,5000.0,0.0,3.0,3.0,0.0
240,splacona,300.0,70.0,kobieta,13.0,1000.0,1.0,61.0,48.0,0.0
241,odmowa,450.0,76.0,kobieta,13.0,720.08,0.0,239.0,48.0,0.0
242,splacona_cz,800.0,55.0,kobieta,13.0,3440.0,2.0,48.0,48.0,6.0
243,odmowa,200.0,41.0,kobieta,11.0,718.57,0.0,78.0,48.0,0.0
244,splacona,400.0,38.0,kobieta,11.0,800.51,1.0,17.0,48.0,13.0
245,odmowa,200.0,53.0,kobieta,11.0,1133.37,0.0,389.0,48.0,0.0
246,odmowa,500.0,38.0,kobieta,12.0,1520.01,0.0,26.0,41.0,0.0
247,splacona,499.98,35.0,mężczyzna,11.0,2200.0,2.0,82.0,48.0,18.0
248,splacona,600.0,49.0,kobieta,11.0,2500.0,1.0,230.0,48.0,0.0
249,splacona_cz,600.0,29.0,mężczyzna,12.0,1300.0,2.0,24.0,17.0,6.0
250,splacona_cz,300.0,54.0,mężczyzna,17.0,798.8,2.0,146.0,4.0,6.0
251,odmowa,500.0,50.0,mężczyzna,12.0,1038.0,0.0,30.0,17.0,0.0
252,odmowa,300.0,59.0,kobieta,16.0,799.4,0.0,126.0,48.0,0.0
253,splacona,400.0,65.0,mężczyzna,16.0,1473.04,1.0,162.0,48.0,3.0
254,odmowa,300.0,50.0,mężczyzna,12.0,670.8,0.0,3.0,5.0,0.0
255,splacona,500.0,61.0,mężczyzna,11.0,1250.0,2.0,62.0,48.0,14.0
256,splacona,300.0,62.0,kobieta,13.0,750.0,0.0,28.0,48.0,0.0
257,splacona_cz,300.0,66.0,mężczyzna,13.0,2110.0,2.0,98.0,48.0,0.0
258,windykacja_sp,400.0,59.0,kobieta,13.0,930.0,1.0,29.0,48.0,436.0
259,windykacja_sp,231.22,52.0,mężczyzna,12.0,1000.0,2.0,9.0,30.0,437.0
260,splacona_cz,300.0,59.0,kobieta,13.0,1658.0,2.0,26.0,48.0,1.0
261,splacona_cz,200.0,53.0,kobieta,16.0,749.28,2.0,62.0,48.0,2.0
262,splacona_cz,250.0,70.0,kobieta,13.0,1016.0,0.0,186.0,48.0,0.0
263,splacona_cz,600.0,51.0,kobieta,11.0,3200.0,2.0,51.0,48.0,1.0
264,splacona_cz,500.0,32.0,kobieta,11.0,3100.0,2.0,118.0,48.0,0.0
265,splacona_cz,400.0,37.0,kobieta,11.0,2700.0,2.0,118.0,48.0,0.0
266,splacona_cz,393.99,59.0,mężczyzna,11.0,2947.0,2.0,50.0,48.0,3.0
267,odmowa,300.0,24.0,mężczyzna,12.0,1027.22,0.0,1.0,2.0,0.0
268,splacona,300.0,33.0,mężczyzna,11.0,2100.0,2.0,61.0,48.0,9.0
269,splacona_cz,400.0,68.0,kobieta,16.0,980.0,2.0,128.0,48.0,1.0
270,odmowa,400.0,42.0,kobieta,11.0,960.0,0.0,4.0,48.0,0.0
271,splacona,412.72,33.0,kobieta,11.0,1400.0,1.0,98.0,48.0,9.0
272,splacona_cz,694.0,38.0,kobieta,11.0,1900.0,2.0,205.0,48.0,3.0
273,windykacja,200.0,37.0,mężczyzna,12.0,950.0,1.0,4.0,11.0,5355.0
274,splacona_cz,328.0,60.0,mężczyzna,12.0,1000.0,2.0,9.0,1.0,4.0
275,splacona_cz,328.32,50.0,kobieta,12.0,1000.0,2.0,29.0,0.0,4.0
276,splacona_cz,500.0,62.0,kobieta,13.0,1900.0,2.0,85.0,48.0,1.0
277,splacona_cz,600.0,56.0,mężczyzna,11.0,3335.0,2.0,430.0,48.0,2.0
278,splacona_cz,377.69,40.0,kobieta,11.0,1087.0,1.0,235.0,48.0,5.0
279,odmowa,300.0,51.0,mężczyzna,16.0,639.31,0.0,246.0,48.0,0.0
280,splacona_cz,700.0,61.0,kobieta,13.0,2066.0,2.0,126.0,48.0,1.0
281,splacona_cz,253.12,61.0,kobieta,13.0,975.0,2.0,24.0,48.0,3.0
282,odmowa,1000.0,38.0,mężczyzna,11.0,2424.72,0.0,64.0,48.0,0.0
283,odmowa,500.0,53.0,mężczyzna,11.0,2094.17,0.0,238.0,48.0,0.0
